"BIO_SEX","HISPANIC","WHITE","BLACK","NAMERICAN","ASIAN","AGE","TREG1","ALCEVR1","ALCPROBS1","MAREVER1","COCEVER1","INHEVER1","CIGAVAIL","DEP1","ESTEEM1","VIOL1","PASSIST","DEVIANT1","SCHCONN1","GPA1","EXPEL1","FAMCONCT","PARACTV","PARPRES"
1,0,1,0,0,0,14.424658,0,1,0,0,0,0,0,6,49,0,0,0,32,4,0,24.3,11,15
1,0,1,0,0,0,15.928767,0,0,0,0,0,0,0,1,46,0,0,5,32,2.75,0,24.7,3,15
1,0,0,0,0,1,16.342466,1,1,0,0,0,0,0,10,37,0,0,1,29,3,0,20.7,2,9
0,0,0,1,0,0,16.345205,0,1,2,0,0,0,0,9,42,1,0,4,27,2.25,0,20,6,15
1,0,0,1,0,0,16.427397,0,1,1,1,0,0,0,1,40,2,1,3,31,2.25,1,23.7,6,11
0,0,1,0,0,0,16.512329,0,1,0,1,0,0,0,19,28,0,0,5,18,1.75,0,14.3,1,15
0,0,0,1,0,0,18.09589,0,1,0,0,0,0,0,0,44,0,0,0,33,2.5,0,24.3,12,15
1,0,1,0,0,0,15.673973,0,0,0,0,0,0,1,5,42,1,0,2,28,3,0,23.7,11,13
0,0,1,1,0,0,18.342466,1,1,2,1,0,0,1,2,42,3,0,3,29,2.666667,0,21.7,6,11
1,0,1,0,0,0,18.180822,0,0,0,1,0,0,0,6,45,0,0,4,34,3.5,0,24.7,6,14
1,0,1,0,0,0,15.509589,0,1,0,0,0,0,0,5,45,3,0,4,28,2.25,0,24.7,10,14
1,0,1,0,0,0,14.758904,0,1,0,0,0,0,0,5,46,1,0,2,34,2.25,0,24,2,15
0,0,1,0,0,0,19.594521,0,1,0,0,0,0,1,4,50,0,0,0,36,2.666667,0,25,5,12
1,0,1,0,0,0,15.591781,0,0,0,0,0,0,0,14,38,0,0,2,22,3,0,23,5,8
1,0,0,0,0,0,18.846575,0,1,4,1,1,1,0,15,44,11,0,19,27,3.25,0,23.3,2,15
1,0,1,0,0,0,16.09589,0,0,0,0,0,0,1,6,41,1,0,3,32,3.75,0,24,11,15
0,0,0,1,0,0,13.758904,0,1,0,0,0,0,0,22,45,0,0,2,36,3,0,24.3,12,15
1,0,0,0,0,1,18.427397,0,1,0,1,0,0,0,10,41,3,0,13,28,2,0,22.7,4,14
0,0,1,0,0,0,14.010959,0,1,1,0,0,0,1,3,46,3,0,3,29,3,0,25,5,15
0,0,1,0,0,0,15.093151,0,0,0,0,0,0,0,4,46,0,0,0,34,4,0,25,11,15
1,0,1,0,0,0,15.424658,0,0,0,0,0,0,0,8,45,0,0,0,33,2,0,21,6,13
1,0,0,1,0,0,18.013699,0,1,0,0,0,0,0,1,48,9,1,0,35,3,1,25,2,12
0,0,1,0,0,0,18.427397,0,0,0,0,0,0,0,14,42,2,0,3,32,3,0,20,5,14
1,0,1,0,0,0,18.679452,0,0,0,0,0,0,0,5,50,0,0,2,35,4,0,24,4,14
1,0,1,0,0,0,17.013699,0,0,0,0,0,0,0,4,40,0,0,1,33,4,0,24,6,12
0,0,1,0,0,0,16.761644,0,1,0,0,0,0,0,12,38,0,0,1,27,3,0,24,13,15
0,0,0,1,0,0,17.342466,0,1,0,0,0,0,1,2,40,1,0,0,27,1.5,0,22.7,2,13
0,0,1,0,0,0,14.928767,0,1,0,0,0,0,1,12,35,0,0,3,27,3.75,0,18.7,3,14
0,0,0,1,0,0,14.172603,0,0,0,0,0,0,0,6,43,0,0,0,27,3.5,0,25,7,12
1,0,0,1,0,0,18.846575,0,1,0,0,0,0,0,15,42,2,0,3,26,2,0,23.3,6,14
0,0,1,0,0,0,14.178082,0,0,0,0,0,0,1,2,49,5,0,2,35,2.5,0,24.7,5,13
0,0,1,0,0,0,16.342466,0,1,0,0,0,0,0,12,38,0,0,1,32,3.75,0,20,11,15
0,0,1,0,0,0,16.093151,0,0,0,0,0,0,1,19,31,0,0,0,20,2.25,0,24,5,15
0,0,0,0,0,0,15.339726,0,1,0,0,0,0,0,3,41,1,0,0,36,4,0,23.7,5,12
1,0,1,0,0,0,13.843836,0,1,0,0,0,0,0,2,43,0,0,0,30,1.75,0,24,4,15
0,0,1,0,0,0,16.093151,0,0,0,0,0,0,1,11,49,2,0,0,32,2.5,0,24,2,15
1,0,1,0,0,1,18.679452,0,1,2,1,0,0,1,3,40,2,0,2,25,1.5,0,20,4,15
1,0,1,0,0,0,19.09863,0,0,0,0,0,0,0,4,47,0,0,0,36,3,0,25,6,15
0,0,1,0,0,0,15.257534,0,0,0,0,0,1,1,26,25,3,0,13,22,2.75,0,17.7,8,15
1,0,1,0,0,0,19.594521,1,1,0,1,0,0,0,3,33,0,0,4,26,1.5,0,16.7,1,11
1,0,1,0,0,0,17.09863,1,1,0,1,0,0,1,42,26,3,0,5,13,2.75,0,23,7,15
